strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Cheeisenberg,Breaking Buds Seeds,"UK clone from 90s, popular at free parties. Strong, high-yielding plant for experienced growers. High indoor production.",7.85,28.08,40.0,1 Single Feminised Seed (GBP 7.85),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Tall (140cm plus),Medium (56 to 90 days),Middle of September,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Brownie Auto,Breaking Buds Seeds,"American lineage strain crossed with NYC Diesel Auto for auto-flowering. Medium size, high yield, sweet scent, mild effect, good for BHO extractions.",34.81,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"Using the same Matanuska Tundra clone as in Blue Sky 99%, stabilized with a NYC Diesel Auto male, after six generations it achieved 80% stability for auto-flowering. The plant showcases a medium size, bush-like structure with a sweet caramel-chocolate aroma and mild effects, making it great for BHO extractions and social settings.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,Relaxing,"Caramel, Chocolate, Fruity, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jenny Kush,Rare Dankness Seeds,"High THC, resinous Sativa-dominant hybrid with fruity haze and citrus notes. Named in honor of a positive and uplifting friend.",6.24,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Super Strength,Motivational,"Citrus, Fruity, Lemon, Lime",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,60-70 Days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Raspberry Dosido,Haute Genetique,Do Si Do cookie cut re-interpreted for higher yield and pungent berry fuel aroma. Traditional cookie structure with dense colas.,9.57,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Appetite Stimulant, Relaxing","Berry, Fuel",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Chem Berry D,Dark Horse Genetics,"High yielding, potent strain with fuel flavors. Sativa dominant hybrid with 25-32% THC. Flowering time of 63-70 days.",7.71,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,Sativa Dom Hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Fuel,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,63-70 days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Gamma Berry,Dark Horse Genetics,"Potent strain with sour strawberry jam aroma. Crossed with Strawberry Diesel for boosted potency and heavy yields. Flowering time 63-70 days, THC 20-28%.",7.71,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Sour, Strawberry",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,63-70 days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Original Bruce Banner,Dark Horse Genetics,Bruce Banner F2 regular seeds have potent effects and delicious terpene content. BB3 & BB5 phenos refined for flavor and resin production.,8.81,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Glue,Dark Horse Genetics,"Popular strain with high THC levels, high yields, and unique aroma. Crossed with Diesel and strawberries for a phenomenal experience.",7.71,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,indica dom hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Chemical,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,63-70 days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Shortcake,Dark Horse Genetics,"Reliable yielder with candy flavors and fuel/strawberry aroma. Introduced in 2009, above average yield, 65-72 days flowering time, 18-22% THC, sativa dominant.",7.71,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Sativa Dominant,sativa dom hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Fuel, Strawberry, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,65-72 days,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Crystal Blue,Brothers Grimm Seeds,"Fast flowering, fruity terpenes, potent, high yield, delicious flavor, energetic high, great for extracts, compact bushy phenotype.",5.96,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Cerebral,Fruity,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Short (up to 80cm),Medium (56 to 90 days),Middle of October,The breeder recommends 55-65 days of 12/12 flowering.,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Emperor Mandarin,Cali Kush Farms,"Potent strain with heavy yields and Orange OG Kush flavors. Genetics include Ghost OG, HA-OG, and Mandarina.",11.0,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Hybrid,Indica Dominant,Indoor,Normal,Cerebral,Orange,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-11 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jaffa Cake,Cali Kush Farms,"Hybrid with Animal Cookies, Hashplant, and Mandarina genetics. Cream and Mandarin aroma, great for breeding mother plants.",11.0,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Hybrid,Indica Dominant,Indoor,Normal,Relaxing,"Cake, Dairy, Orange",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-10 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
King Mamba,Cali Kush Farms,"Potent OG Kush hybrid with high yields, pine and citrus flavors, and strong, relaxing high. Best grown indoors.",5.5,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,Hybrid (50/50),Indica Dominant,Indoor,Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-10 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Grenadine,Karma Genetics,"High trichome strain with sour cookie OG flavor, purple hues, and OG kush stretch. Genetics: Miley Cyres x Karmarado OG. Flowering time: 9-10 weeks.",11.0,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/images/discontinued-icon.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,Relaxing,Sour,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Snow Moon,Ace Seed bank,"Potent indica hybrid from Pakistan and China. Produces high-quality hash with warm, happy psychoactivity and mouth-watering aromas. Limited edition.",2.9,28.08,40.0,1 Single Regular Seed (GBP 2.90),https://www.seed-city.com/images/discontinued-icon.jpg,"Snow Moon is a robust and flavorful hybrid strain, resulting from a cross between superior hashplants from Pakistan and China, specifically the purple Pakistan Chitral Kush 2002 and a top China Yunnan indica from the Orient Express hybrid. Boasting a creation journey that began in 2007 and culminated in its release in 2016, Snow Moon presents two equally common phenotypes: the 'white' pheno, expressing more of the China Yunnan hashplant's characteristics with earthy, forest aromas, and the 'blackberry' pheno, which exudes a forest fruit bubblegum scent from its visually striking purple flowers. Both phenotypes are distinguished by their exceptional resin production and deliver a warm, pleasing, and happy psychoactive experience. Snow Moon, available in both standard and feminized seeds, is a testament to the meticulous breeding aimed at combining the best of its classic indica genetics.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Happy,"Berry, Fruity, Hashy",Relaxing,Mediterranean,Citrus,12-16 %,Below 1%,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8-9 Weeks,October,Northern Lights x Haze,Out of Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
